               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088402,             0.04864,            0.054771,            0.013953,             0.17053,            0.010701,           0.0023143,            0.068313,            0.040824,            0.049759,             0.00035,             0.00035,             0.09685
                   1,            0.063853,             0.04658,             0.05146,             0.19917,             0.30215,            0.053074,            0.018061,             0.05933,            0.031595,            0.046355,          0.00070998,          0.00070998,             0.09361
                   2,            0.057453,             0.03673,            0.049741,            0.065522,              0.4749,            0.079622,            0.021659,            0.051008,            0.023505,            0.044722,           0.0010699,           0.0010699,             0.09037
                   3,            0.050319,            0.033444,             0.04877,             0.10176,             0.37816,             0.14632,            0.061255,            0.033329,            0.023624,            0.043792,           0.0014297,           0.0014297,             0.08713
                   4,            0.048808,            0.032574,            0.046719,             0.10082,             0.32422,             0.14826,            0.068543,            0.042367,            0.021433,            0.043191,           0.0017893,           0.0017893,            0.083889
                   5,            0.045637,            0.031497,            0.047309,            0.099625,             0.56433,               0.214,            0.091333,            0.040485,            0.020771,             0.04225,           0.0021487,           0.0021487,            0.080649
                   6,            0.046822,            0.030915,            0.047252,             0.10671,              0.5071,             0.20438,            0.072967,            0.046412,            0.021392,             0.04052,           0.0025078,           0.0025078,            0.077408
                   7,            0.046446,            0.030115,            0.045571,             0.14551,             0.57264,              0.3111,             0.14938,            0.028004,            0.020169,            0.038081,           0.0028665,           0.0028665,            0.074167
                   8,             0.04378,            0.029102,             0.04243,             0.17099,             0.54248,             0.32576,             0.11926,            0.033443,            0.020405,            0.033889,           0.0032249,           0.0032249,            0.070925
                   9,            0.041942,            0.028939,            0.038233,             0.21364,             0.60713,             0.36445,              0.1552,            0.031328,            0.019586,            0.031165,           0.0035828,           0.0035828,            0.067683
                  10,            0.039285,            0.028578,             0.03568,             0.32088,             0.57703,             0.40839,             0.20036,            0.035684,            0.019656,             0.02909,           0.0039403,           0.0039403,             0.06444
                  11,            0.042451,            0.027967,            0.035958,               0.353,             0.60615,             0.46223,             0.17829,            0.032512,            0.021331,            0.026502,           0.0042971,           0.0042971,            0.061197
                  12,            0.038855,            0.027555,            0.031411,             0.33258,             0.65455,             0.55765,             0.25389,             0.03409,            0.019956,            0.023975,           0.0046534,           0.0046534,            0.057953
                  13,            0.036855,            0.027572,             0.02842,             0.28752,             0.80001,              0.5803,             0.32544,            0.034516,            0.018474,            0.021859,           0.0050091,           0.0050091,            0.054709
                  14,            0.036612,            0.027374,            0.027531,             0.44392,             0.65131,             0.61576,             0.32315,            0.034891,             0.01925,            0.021299,            0.005364,            0.005364,            0.051464
                  15,            0.034474,            0.027186,            0.024836,             0.40303,             0.60703,              0.5553,             0.26177,            0.033647,            0.018384,            0.018995,           0.0057181,           0.0057181,            0.048218
                  16,            0.033805,            0.026643,            0.023023,             0.67177,              0.6433,              0.6826,             0.34186,            0.028736,            0.018243,            0.017951,           0.0060715,           0.0060715,            0.044971
                  17,            0.030919,            0.026925,             0.02029,             0.91563,             0.57309,             0.73692,             0.37888,             0.02923,            0.018106,            0.015509,            0.006424,            0.006424,            0.041724
                  18,            0.032959,            0.027091,            0.020189,             0.65495,             0.74784,             0.79698,             0.43292,            0.026423,            0.018962,            0.014899,           0.0067756,           0.0067756,            0.038476
                  19,            0.031218,            0.026321,            0.017505,             0.68019,             0.81602,             0.82462,             0.46647,            0.029133,            0.018688,            0.013614,           0.0071262,           0.0071262,            0.035226
                  20,            0.028504,            0.025525,            0.015315,              0.6601,             0.80038,             0.73205,             0.30785,            0.032529,            0.018481,            0.011985,           0.0074758,           0.0074758,            0.031976
                  21,             0.02749,            0.026254,            0.013656,             0.92293,             0.86449,             0.93103,             0.52681,            0.025455,            0.017393,            0.010229,           0.0078243,           0.0078243,            0.028724
                  22,            0.031057,            0.025565,            0.014849,             0.90831,             0.87955,             0.93406,             0.59898,            0.025728,            0.017361,           0.0097497,           0.0081717,           0.0081717,            0.025472
                  23,            0.029788,            0.025011,            0.013731,              0.9122,             0.88097,             0.93687,             0.58324,            0.026105,            0.017471,            0.015906,           0.0085179,           0.0085179,            0.022218
                  24,            0.032697,            0.026956,            0.015147,            0.016038,            0.023179,           0.0069154,           0.0027646,            0.083344,            0.050535,             0.10431,           0.0088629,           0.0088629,            0.018963
                  25,            0.030872,            0.028053,            0.019167,             0.33387,           0.0051406,           0.0001162,          4.7908e-05,            0.076757,            0.058452,            0.059389,           0.0092066,           0.0092066,            0.015707
                  26,             0.02948,            0.027363,            0.016036,             0.27356,            0.033873,            0.064701,            0.038653,            0.049501,             0.12187,            0.070078,            0.009549,            0.009549,            0.012449
                  27,             0.02664,            0.027683,            0.014542,               0.893,             0.71311,             0.83805,             0.51148,            0.025266,            0.026278,            0.015442,           0.0098213,           0.0098213,           0.0098213
                  28,            0.031633,            0.027667,            0.016973,             0.81464,             0.31097,             0.41645,              0.2151,            0.042438,            0.041432,            0.038604,           0.0098213,           0.0098213,           0.0098213
                  29,            0.034804,            0.035055,            0.023464,             0.54419,            0.095829,            0.088825,             0.03681,            0.044997,            0.091985,            0.072889,           0.0098079,           0.0098079,           0.0098079
                  30,            0.033008,            0.029413,            0.016893,               0.813,             0.78655,             0.83857,             0.46464,              0.0262,            0.030758,            0.012986,           0.0097941,           0.0097941,           0.0097941
                  31,            0.031922,            0.027087,            0.015589,             0.93187,             0.86724,             0.94695,             0.59431,            0.021344,            0.019182,           0.0093839,           0.0097798,           0.0097798,           0.0097798
                  32,            0.030034,            0.026259,             0.01479,             0.93074,             0.92315,             0.95735,             0.53774,            0.027011,            0.018678,           0.0070028,            0.009765,            0.009765,            0.009765
                  33,             0.02864,            0.026147,            0.013933,             0.95145,             0.91701,             0.96369,              0.6629,             0.01861,            0.017322,           0.0071705,           0.0097497,           0.0097497,           0.0097497
                  34,             0.02662,            0.025038,            0.011326,             0.94594,             0.93624,             0.96751,             0.67152,            0.019404,            0.017254,           0.0067323,            0.009734,            0.009734,            0.009734
                  35,             0.02766,            0.025387,            0.011816,             0.97251,             0.92902,             0.97097,             0.70427,              0.0184,            0.016843,           0.0068257,           0.0097178,           0.0097178,           0.0097178
                  36,            0.025284,            0.024911,            0.010158,             0.95944,             0.94541,             0.97826,             0.69667,            0.018709,            0.016829,           0.0059058,           0.0097011,           0.0097011,           0.0097011
                  37,            0.026828,            0.025316,            0.011592,             0.95962,              0.9535,             0.97731,             0.72469,            0.016437,            0.016426,           0.0055979,            0.009684,            0.009684,            0.009684
                  38,            0.023695,              0.0243,           0.0088259,              0.9532,             0.95728,             0.97579,             0.73368,            0.016803,            0.016252,           0.0056863,           0.0096664,           0.0096664,           0.0096664
                  39,            0.027202,             0.02518,            0.011866,             0.94925,             0.93283,              0.9717,             0.66138,            0.019753,            0.017083,           0.0079471,           0.0096484,           0.0096484,           0.0096484
                  40,            0.026578,            0.024668,             0.01133,             0.96907,             0.95812,             0.97777,             0.71628,            0.017978,            0.016698,           0.0051224,           0.0096299,           0.0096299,           0.0096299
                  41,            0.023835,            0.024235,           0.0098722,             0.96876,             0.95543,             0.97435,             0.72659,             0.01855,            0.016484,           0.0055439,            0.009611,            0.009611,            0.009611
                  42,            0.024382,            0.024466,           0.0098904,             0.97033,              0.9599,             0.97898,             0.73047,            0.017313,            0.016294,           0.0046226,           0.0095916,           0.0095916,           0.0095916
                  43,            0.023658,            0.023809,           0.0097066,              0.9737,             0.95534,             0.97655,             0.71253,            0.017548,            0.016334,           0.0049278,           0.0095717,           0.0095717,           0.0095717
                  44,            0.025828,            0.024299,            0.011076,             0.97262,             0.94455,             0.97605,             0.65792,            0.019588,            0.016812,           0.0052887,           0.0095514,           0.0095514,           0.0095514
                  45,            0.022344,            0.023803,           0.0086777,             0.97473,             0.96376,             0.97957,             0.71751,            0.017197,            0.016346,            0.004484,           0.0095307,           0.0095307,           0.0095307
                  46,            0.025617,             0.02346,            0.009459,               0.973,             0.96994,             0.97742,              0.7304,            0.016971,            0.015924,           0.0044678,           0.0095095,           0.0095095,           0.0095095
                  47,            0.023201,            0.023591,           0.0094436,             0.97805,              0.9585,             0.97848,             0.74141,            0.017623,            0.015765,           0.0051048,           0.0094879,           0.0094879,           0.0094879
                  48,            0.022828,             0.02309,           0.0083131,             0.96632,             0.97268,             0.98062,             0.76749,            0.015138,             0.01535,            0.004224,           0.0094659,           0.0094659,           0.0094659
                  49,            0.021099,            0.022595,           0.0072655,             0.96816,             0.96997,             0.97894,             0.76535,            0.014498,            0.015176,           0.0045147,           0.0094434,           0.0094434,           0.0094434
                  50,             0.02099,            0.022897,           0.0079838,             0.97455,             0.96813,             0.97978,             0.75837,            0.015806,            0.015497,           0.0045195,           0.0094205,           0.0094205,           0.0094205
                  51,            0.021588,            0.022265,           0.0073631,             0.97703,             0.96768,             0.97968,             0.76768,            0.014468,            0.015212,           0.0044452,           0.0093971,           0.0093971,           0.0093971
                  52,            0.021869,            0.022236,           0.0077189,             0.97232,             0.97523,             0.98133,             0.71755,            0.016853,            0.016127,           0.0044034,           0.0093733,           0.0093733,           0.0093733
                  53,            0.024566,            0.029207,            0.015418,            0.088308,             0.08987,            0.050902,            0.019181,            0.060957,            0.053469,            0.053952,           0.0093491,           0.0093491,           0.0093491
                  54,            0.026245,            0.030682,            0.019616,             0.58751,             0.50322,             0.53271,             0.28419,            0.029685,            0.028829,             0.03132,           0.0093245,           0.0093245,           0.0093245
                  55,            0.030779,            0.036573,            0.025136,             0.25063,            0.038105,          0.00026337,          5.5879e-05,            0.066539,             0.10504,             0.06292,           0.0092995,           0.0092995,           0.0092995
                  56,            0.027432,            0.030039,            0.017112,             0.62936,             0.52751,             0.54906,             0.29286,            0.031328,            0.036551,            0.024163,            0.009274,            0.009274,            0.009274
                  57,            0.028156,            0.031726,            0.018849,             0.59566,             0.18334,             0.14166,            0.067095,            0.047101,            0.054264,            0.055121,           0.0092481,           0.0092481,           0.0092481
                  58,            0.025933,            0.029342,            0.017201,             0.70706,             0.59899,             0.66889,              0.4201,            0.022849,            0.028269,            0.027764,           0.0092219,           0.0092219,           0.0092219
                  59,            0.024526,             0.02766,            0.012754,             0.90713,             0.83528,             0.91216,             0.63444,            0.019018,            0.020038,           0.0085419,           0.0091952,           0.0091952,           0.0091952
                  60,            0.024569,            0.027076,             0.01354,             0.93855,             0.91451,             0.95737,             0.65091,            0.018707,              0.0177,           0.0063039,           0.0091681,           0.0091681,           0.0091681
                  61,            0.022878,            0.026597,            0.010665,             0.94902,             0.93337,             0.96678,             0.70991,            0.015814,            0.016832,           0.0053444,           0.0091406,           0.0091406,           0.0091406
                  62,            0.021654,             0.02574,            0.009555,             0.95701,             0.93285,             0.96672,             0.70849,            0.015933,            0.016653,           0.0050863,           0.0091127,           0.0091127,           0.0091127
                  63,            0.022791,             0.02498,            0.010957,             0.96294,             0.93182,             0.97195,             0.72255,             0.01608,            0.016705,            0.004888,           0.0090844,           0.0090844,           0.0090844
                  64,            0.022088,            0.025027,            0.010691,             0.96823,             0.93415,             0.97109,             0.73261,            0.015492,            0.016282,           0.0053635,           0.0090557,           0.0090557,           0.0090557
                  65,            0.021323,            0.025257,           0.0092915,             0.95041,             0.96016,             0.97433,             0.73858,            0.014909,             0.01617,           0.0044233,           0.0090266,           0.0090266,           0.0090266
                  66,            0.022905,            0.025115,           0.0098917,             0.95591,             0.94754,             0.97366,             0.72511,            0.015475,            0.016109,           0.0055061,           0.0089972,           0.0089972,           0.0089972
                  67,            0.020074,            0.024799,           0.0079706,             0.95499,             0.95592,             0.97575,             0.72374,            0.015968,            0.016299,           0.0046279,           0.0089673,           0.0089673,           0.0089673
                  68,            0.020933,             0.02388,           0.0085265,             0.96833,             0.96128,             0.97663,             0.74285,             0.01506,            0.015895,           0.0041275,           0.0089371,           0.0089371,           0.0089371
                  69,            0.021823,            0.024633,           0.0095578,             0.97081,             0.94803,              0.9756,             0.74925,             0.01525,            0.016007,           0.0048567,           0.0089065,           0.0089065,           0.0089065
                  70,            0.020815,            0.023973,           0.0087292,             0.96469,             0.96797,             0.97847,             0.74594,            0.014852,            0.015702,           0.0041732,           0.0088755,           0.0088755,           0.0088755
                  71,            0.023296,            0.023972,           0.0094294,             0.97406,             0.95686,             0.97877,             0.75536,            0.014024,            0.015587,           0.0043847,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022355,            0.024748,           0.0094959,             0.97336,             0.95949,             0.97957,             0.76206,            0.014683,            0.015531,           0.0040705,           0.0088124,           0.0088124,           0.0088124
                  73,            0.020147,            0.023961,           0.0077061,             0.96925,             0.97191,             0.97895,             0.75163,            0.014707,            0.015473,           0.0039067,           0.0087804,           0.0087804,           0.0087804
                  74,            0.022412,            0.023542,           0.0098765,             0.96908,             0.97111,             0.97906,             0.75273,            0.014259,            0.015491,           0.0039351,           0.0087479,           0.0087479,           0.0087479
                  75,            0.021484,            0.023987,           0.0083891,             0.97062,             0.96062,             0.97631,             0.72956,            0.015164,            0.015959,           0.0045573,           0.0087151,           0.0087151,           0.0087151
                  76,            0.020543,            0.023972,           0.0091725,             0.97369,             0.95659,             0.97767,             0.75698,            0.014272,            0.015472,           0.0040433,            0.008682,            0.008682,            0.008682
                  77,            0.020842,            0.023648,           0.0090186,             0.97427,             0.96556,             0.97926,             0.76171,            0.014216,            0.015415,           0.0039931,           0.0086485,           0.0086485,           0.0086485
                  78,            0.020173,            0.023243,           0.0081549,             0.97227,             0.96405,             0.98069,             0.75816,            0.014353,            0.015374,           0.0039224,           0.0086146,           0.0086146,           0.0086146
                  79,             0.02058,            0.022697,           0.0077288,             0.96105,             0.96829,             0.97968,             0.77202,            0.013249,            0.014861,           0.0038433,           0.0085805,           0.0085805,           0.0085805
                  80,            0.018296,            0.023858,           0.0064444,             0.97418,             0.96576,             0.98121,             0.77703,            0.013298,            0.014852,            0.003594,           0.0085459,           0.0085459,           0.0085459
                  81,             0.02035,            0.023269,           0.0083674,              0.9672,             0.96816,             0.98051,             0.77678,            0.013124,            0.014861,           0.0036734,           0.0085111,           0.0085111,           0.0085111
                  82,            0.020139,            0.022801,           0.0078427,             0.97096,             0.97104,             0.98051,             0.77017,             0.01343,            0.015012,           0.0040077,           0.0084759,           0.0084759,           0.0084759
                  83,            0.020337,            0.023345,           0.0069977,             0.97094,              0.9748,             0.97941,             0.77718,            0.013491,             0.01495,           0.0036948,           0.0084404,           0.0084404,           0.0084404
                  84,            0.020995,            0.022691,           0.0074725,             0.96732,             0.97246,             0.97941,             0.77375,            0.013885,            0.014897,           0.0036162,           0.0084046,           0.0084046,           0.0084046
                  85,            0.019366,            0.022639,           0.0060571,             0.97835,             0.97494,             0.98115,             0.78036,            0.013423,            0.014998,           0.0034644,           0.0083684,           0.0083684,           0.0083684
                  86,            0.019163,            0.022545,           0.0061302,             0.97763,              0.9674,             0.98151,             0.78176,            0.012962,            0.014718,           0.0033935,           0.0083319,           0.0083319,           0.0083319
                  87,            0.019179,            0.022911,           0.0071695,             0.97264,              0.9728,             0.98199,             0.78067,            0.013212,            0.014811,           0.0036529,           0.0082952,           0.0082952,           0.0082952
                  88,            0.020857,            0.022712,           0.0077522,             0.97867,             0.96698,             0.98019,              0.7844,              0.0128,            0.014667,           0.0038018,           0.0082581,           0.0082581,           0.0082581
                  89,            0.018164,            0.022466,           0.0066263,             0.97832,             0.97612,             0.98056,             0.77598,            0.013002,             0.01461,           0.0036129,           0.0082207,           0.0082207,           0.0082207
                  90,            0.019359,            0.022421,            0.008221,             0.97537,             0.97735,             0.98049,             0.78355,            0.013052,            0.014531,           0.0036486,            0.008183,            0.008183,            0.008183
                  91,            0.018531,            0.021477,           0.0068295,             0.98062,             0.97347,             0.98198,             0.77743,            0.013378,             0.01475,           0.0031895,            0.008145,            0.008145,            0.008145
                  92,            0.019764,            0.022713,           0.0074018,             0.97824,             0.97424,             0.98191,             0.78333,            0.012751,            0.014574,           0.0032053,           0.0081068,           0.0081068,           0.0081068
                  93,            0.020698,            0.021976,           0.0069048,             0.97636,             0.97643,              0.9816,             0.78773,            0.012879,            0.014586,           0.0032632,           0.0080682,           0.0080682,           0.0080682
                  94,            0.020157,             0.02235,           0.0071859,             0.97756,             0.96809,             0.98227,             0.78891,            0.013021,            0.014434,           0.0037284,           0.0080294,           0.0080294,           0.0080294
                  95,            0.021246,            0.022527,           0.0071026,             0.97968,             0.96454,             0.98171,             0.78601,            0.012998,            0.014442,           0.0036449,           0.0079903,           0.0079903,           0.0079903
                  96,            0.020062,            0.022267,           0.0074405,             0.97884,             0.97157,             0.98352,             0.79125,            0.012746,            0.014415,           0.0034637,           0.0079509,           0.0079509,           0.0079509
                  97,             0.01999,            0.022211,           0.0078701,             0.97603,             0.97612,             0.98065,             0.78961,            0.012679,            0.014279,           0.0033685,           0.0079112,           0.0079112,           0.0079112
                  98,            0.019175,            0.021886,           0.0069987,             0.97693,             0.97844,             0.98236,             0.79686,            0.012667,            0.014231,           0.0030605,           0.0078713,           0.0078713,           0.0078713
                  99,            0.018952,            0.021353,           0.0069353,             0.97619,             0.97716,             0.98375,             0.79508,            0.012338,            0.014278,           0.0030696,           0.0078311,           0.0078311,           0.0078311
                 100,            0.018554,            0.021939,           0.0053256,             0.97559,             0.97503,             0.98278,             0.79881,            0.012172,            0.014111,           0.0033057,           0.0077907,           0.0077907,           0.0077907
                 101,            0.018482,            0.021252,           0.0073899,             0.97277,             0.97228,              0.9813,             0.79564,            0.012298,            0.014133,           0.0035255,             0.00775,             0.00775,             0.00775
                 102,            0.018204,            0.020736,           0.0066484,             0.97793,             0.97402,             0.98316,             0.79405,            0.012599,            0.014157,           0.0031672,           0.0077091,           0.0077091,           0.0077091
                 103,             0.01751,            0.021368,           0.0058513,             0.97894,             0.97529,             0.98303,             0.80118,            0.012071,             0.01403,           0.0030747,           0.0076679,           0.0076679,           0.0076679
                 104,            0.017663,            0.021878,           0.0049998,             0.97876,              0.9777,              0.9831,             0.79321,             0.01252,            0.014105,           0.0030295,           0.0076265,           0.0076265,           0.0076265
                 105,            0.018708,            0.020908,           0.0072429,             0.98151,             0.97501,             0.98269,             0.80039,            0.011921,            0.013963,           0.0030759,           0.0075848,           0.0075848,           0.0075848
                 106,            0.018612,            0.021821,           0.0065881,             0.97537,             0.97833,             0.98151,             0.79745,            0.012245,             0.01404,           0.0033839,            0.007543,            0.007543,            0.007543
                 107,            0.018859,             0.02084,           0.0071575,             0.97577,             0.97655,             0.98301,             0.80233,            0.012302,            0.013965,           0.0032929,           0.0075009,           0.0075009,           0.0075009
                 108,            0.018335,            0.021659,           0.0062898,             0.97816,               0.978,             0.98178,             0.80425,            0.011816,            0.013853,           0.0031281,           0.0074585,           0.0074585,           0.0074585
                 109,            0.018711,            0.021023,           0.0065131,             0.97952,             0.97576,             0.98339,             0.79806,            0.012045,            0.013982,           0.0031275,            0.007416,            0.007416,            0.007416
                 110,            0.018692,            0.021082,           0.0060016,             0.97661,             0.98113,             0.98356,             0.79728,            0.012091,            0.013882,           0.0029245,           0.0073733,           0.0073733,           0.0073733
                 111,            0.017782,            0.021489,           0.0051017,             0.97788,             0.98037,              0.9831,              0.8084,            0.011624,            0.013661,           0.0030151,           0.0073303,           0.0073303,           0.0073303
                 112,            0.017578,            0.020914,           0.0061741,             0.97528,             0.97762,             0.98336,             0.80656,            0.011734,            0.013688,           0.0031666,           0.0072872,           0.0072872,           0.0072872
                 113,               0.016,            0.020791,           0.0053757,             0.97294,             0.97942,             0.98206,             0.79844,            0.011893,            0.013838,           0.0030689,           0.0072438,           0.0072438,           0.0072438
                 114,            0.018804,            0.020588,           0.0066895,             0.97736,             0.97849,              0.9832,             0.79929,            0.011997,             0.01397,           0.0029913,           0.0072003,           0.0072003,           0.0072003
                 115,            0.018148,            0.021637,           0.0066294,             0.97122,             0.96602,             0.98129,             0.78959,            0.012315,            0.015483,           0.0052712,           0.0071566,           0.0071566,           0.0071566
                 116,            0.016376,            0.021185,           0.0058096,             0.97938,             0.97275,             0.98221,             0.80117,            0.012179,             0.01384,            0.003852,           0.0071127,           0.0071127,           0.0071127
                 117,            0.019421,            0.021026,            0.007865,             0.97683,              0.9763,             0.98199,             0.79769,            0.012572,            0.014217,           0.0039658,           0.0070686,           0.0070686,           0.0070686
                 118,            0.017738,            0.021622,           0.0064708,             0.97672,             0.97437,             0.98269,             0.79886,            0.012235,            0.013856,           0.0034819,           0.0070243,           0.0070243,           0.0070243
                 119,            0.016588,            0.021658,           0.0047988,             0.98056,             0.97631,             0.98291,             0.80549,            0.011684,             0.01368,           0.0029445,           0.0069799,           0.0069799,           0.0069799
                 120,            0.016832,            0.020667,           0.0051726,             0.97878,             0.97771,             0.98186,             0.80677,            0.011775,            0.013693,           0.0030642,           0.0069353,           0.0069353,           0.0069353
                 121,            0.017968,            0.021102,           0.0055591,             0.97849,             0.97508,             0.98207,             0.80245,            0.011752,            0.013631,           0.0030047,           0.0068906,           0.0068906,           0.0068906
                 122,            0.017173,             0.02086,           0.0049723,             0.97407,             0.97839,             0.98306,              0.8086,            0.011588,            0.013559,           0.0028741,           0.0068457,           0.0068457,           0.0068457
                 123,            0.018281,            0.020556,           0.0053394,             0.97786,             0.97657,             0.98293,             0.81045,            0.011407,            0.013511,           0.0028459,           0.0068006,           0.0068006,           0.0068006
                 124,            0.018169,            0.020439,           0.0057701,             0.97718,             0.97975,              0.9833,             0.81259,            0.011633,            0.013521,            0.002879,           0.0067555,           0.0067555,           0.0067555
                 125,            0.017245,             0.02085,            0.004434,             0.98067,             0.97653,             0.98398,             0.81369,            0.011197,             0.01339,            0.002859,           0.0067101,           0.0067101,           0.0067101
                 126,            0.015692,            0.020846,           0.0052762,             0.97865,              0.9799,             0.98407,             0.81369,            0.011485,            0.013481,           0.0028494,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017427,            0.021126,           0.0054199,              0.9779,             0.97648,             0.98362,             0.81495,            0.011153,            0.013315,           0.0027581,           0.0066191,           0.0066191,           0.0066191
                 128,            0.016949,            0.020174,           0.0058215,             0.97458,             0.98091,             0.98317,             0.81282,            0.011351,            0.013382,           0.0026464,           0.0065734,           0.0065734,           0.0065734
                 129,            0.018556,            0.020636,           0.0058631,             0.97858,             0.97991,             0.98278,             0.80948,            0.011375,            0.013508,           0.0028586,           0.0065276,           0.0065276,           0.0065276
                 130,            0.016195,            0.020441,           0.0049879,             0.98152,             0.97486,             0.98361,             0.81401,            0.011338,            0.013425,           0.0028766,           0.0064816,           0.0064816,           0.0064816
                 131,            0.016927,            0.020151,           0.0054064,             0.98016,             0.97956,             0.98313,             0.81362,            0.011365,            0.013455,           0.0026619,           0.0064356,           0.0064356,           0.0064356
                 132,            0.017533,            0.020217,           0.0066108,             0.97802,             0.97809,             0.98215,             0.81056,            0.011413,            0.013388,           0.0028641,           0.0063895,           0.0063895,           0.0063895
                 133,            0.015991,            0.020348,           0.0050908,             0.98001,             0.97998,             0.98376,             0.81282,             0.01122,            0.013352,           0.0028328,           0.0063432,           0.0063432,           0.0063432
                 134,            0.016804,            0.019954,           0.0053551,             0.97993,             0.97893,             0.98305,             0.81418,            0.011231,            0.013272,            0.002745,           0.0062969,           0.0062969,           0.0062969
                 135,            0.017497,            0.020622,           0.0061656,             0.97522,             0.98178,             0.98298,             0.81747,            0.011114,            0.013151,           0.0028499,           0.0062505,           0.0062505,           0.0062505
                 136,            0.016268,            0.020042,            0.005614,             0.97701,             0.97944,             0.98332,              0.8161,            0.011253,            0.013164,           0.0028612,            0.006204,            0.006204,            0.006204
                 137,            0.017463,            0.020363,           0.0049985,             0.97909,             0.97931,             0.98464,             0.81762,            0.011174,            0.013285,           0.0027397,           0.0061574,           0.0061574,           0.0061574
                 138,            0.017051,            0.020947,            0.004901,             0.97904,             0.97783,             0.98324,             0.81865,            0.011062,            0.013218,           0.0028204,           0.0061107,           0.0061107,           0.0061107
                 139,            0.017238,            0.021188,           0.0055727,              0.9753,             0.97842,              0.9836,             0.81806,             0.01101,            0.013225,           0.0028738,            0.006064,            0.006064,            0.006064
                 140,            0.018044,             0.02128,           0.0090118,              0.9372,             0.93917,             0.97026,             0.76683,            0.013648,            0.015025,           0.0069138,           0.0060172,           0.0060172,           0.0060172
                 141,            0.016887,            0.021391,           0.0064893,             0.97168,             0.96704,             0.98106,             0.80163,            0.011741,            0.013862,             0.00373,           0.0059704,           0.0059704,           0.0059704
                 142,            0.018115,             0.02119,           0.0076573,             0.97482,             0.97466,             0.98287,             0.79895,            0.012016,            0.013952,           0.0037299,           0.0059235,           0.0059235,           0.0059235
                 143,            0.016822,            0.021137,           0.0077422,             0.97444,             0.96824,             0.98202,             0.81024,            0.011519,             0.01357,            0.003669,           0.0058766,           0.0058766,           0.0058766
                 144,            0.016981,            0.021082,           0.0065478,             0.97487,             0.97122,             0.98341,              0.8113,            0.011638,             0.01356,           0.0035641,           0.0058296,           0.0058296,           0.0058296
                 145,            0.016161,            0.021839,           0.0052951,             0.97229,             0.97967,             0.98376,             0.81248,            0.011223,            0.013349,           0.0032239,           0.0057826,           0.0057826,           0.0057826
                 146,            0.015133,            0.020813,           0.0044899,              0.9765,             0.97726,             0.98343,             0.81595,            0.011073,             0.01316,           0.0030117,           0.0057355,           0.0057355,           0.0057355
                 147,            0.016209,            0.020105,           0.0059746,             0.98079,             0.97964,             0.98375,             0.81817,            0.011031,            0.013168,           0.0027398,           0.0056884,           0.0056884,           0.0056884
                 148,            0.016453,            0.020233,           0.0056726,             0.97621,             0.97881,             0.98328,              0.8205,            0.010859,            0.013076,           0.0028489,           0.0056413,           0.0056413,           0.0056413
